ID;Nome;Cognome;Data_Nascita;Email;Sport;Abbonamento;Scadenza_Certificato;Ultimo_Accesso;Scadenza_Abbonamento;Ban
128;Valentina;Marino;1994-03-11;valentina.marino98@outlook.it;Palestra;Trimestrale;2028-08-18;2025-08-20;2025-12-27;NO
129;Simone;Ferrari;1964-02-15;simone.ferrari1@gmail.com;Palestra;Semestrale;2026-07-02;2026-02-07;2027-04-15;NO
130;Sara;Verdi;1951-01-28;sara.verdi85@icloud.com;Palestra;Mensile;2028-10-19;2025-01-20;2026-01-04;NO
131;Davide;Marino;2000-05-31;davide.marino27@icloud.com;Palestra;Annuale;2026-11-01;2025-06-24;2025-01-05;NO
132;Alice;Romano;1994-08-31;alice.romano55@icloud.com;Palestra;Semestrale;2028-01-07;2025-04-18;2026-04-06;NO
133;Marco;Moretti;1983-08-19;marco.moretti61@outlook.it;Palestra;Annuale;2028-06-02;2025-01-21;2026-11-14;NO
134;Davide;Zappa;1976-06-19;davide.zappa43@yahoo.com;Palestra;Semestrale;2026-10-03;2025-02-11;2025-02-06;NO
135;Riccardo;Conti;1966-01-28;riccardo.conti80@yahoo.com;Palestra;Semestrale;2028-07-31;2025-12-12;2025-04-11;NO
136;Davide;Conti;2014-05-19;davide.conti74@outlook.it;Palestra;Mensile;2028-11-12;2025-04-30;2028-11-26;NO
137;Beatrice;Marino;1990-03-22;beatrice.marino91@gmail.com;Palestra;Trimestrale;2026-02-15;2025-11-23;2025-09-30;NO
138;Elena;Moretti;1987-12-29;elena.moretti76@icloud.com;Palestra;Annuale;2028-02-08;2025-03-30;2025-04-17;NO
139;Matteo;Marino;1994-11-21;matteo.marino29@gmail.com;Palestra;Trimestrale;2026-06-14;2025-02-09;2028-07-20;NO
140;Alessandro;Piccoli;1976-02-18;alessandro.piccoli9@icloud.com;Palestra;Mensile;2027-07-01;2025-10-12;2028-05-16;NO
141;Matteo;Colombo;2009-07-28;matteo.colombo92@icloud.com;Palestra;Annuale;2026-05-02;2025-07-17;2025-09-02;NO
142;Beatrice;Gallo;1975-05-16;beatrice.gallo92@outlook.it;Palestra;Semestrale;2028-10-24;2026-01-05;2026-09-07;NO
143;Chiara;Moretti;1999-04-29;chiara.moretti24@icloud.com;Palestra;Trimestrale;2028-12-03;2025-12-04;2027-08-09;NO
144;Sara;Marino;1984-01-10;sara.marino6@yahoo.com;Palestra;Mensile;2026-04-12;2025-09-24;2026-02-03;NO
145;Riccardo;Conti;2007-11-10;riccardo.conti8@gmail.com;Palestra;Semestrale;2028-03-18;2025-04-28;2027-10-13;NO
146;Davide;Piccoli;1947-11-26;davide.piccoli29@outlook.it;Palestra;Trimestrale;2026-12-18;2025-08-11;2028-04-09;NO
147;Sara;Moretti;1946-11-25;sara.moretti36@yahoo.com;Palestra;Mensile;2028-07-02;2025-12-31;2025-10-10;NO
148;Elena;Rossi;1947-07-29;elena.rossi11@yahoo.com;Palestra;Mensile;2027-11-06;2025-07-17;2027-10-10;NO
149;Alice;Colombo;2004-10-18;alice.colombo32@gmail.com;Palestra;Annuale;2027-09-21;2025-05-21;2026-05-09;NO
150;Marco;Russo;1957-07-07;marco.russo62@yahoo.com;Palestra;Trimestrale;2027-01-02;2025-05-17;2025-02-20;NO
151;Riccardo;Russo;1962-08-30;riccardo.russo27@outlook.it;Palestra;Mensile;2028-06-28;2025-10-21;2027-01-22;NO
152;Elena;Piccoli;1967-03-01;elena.piccoli28@icloud.com;Palestra;Mensile;2028-10-06;2025-03-13;2027-09-19;NO
153;Alessandro;Piccoli;1983-11-13;alessandro.piccoli51@outlook.it;Palestra;Semestrale;2027-03-25;2026-01-16;2025-04-20;NO
154;Cristiano;Verdi;2002-11-27;cristiano.verdi72@gmail.com;Palestra;Semestrale;2028-05-07;2026-02-08;2026-05-22;NO
155;Valentina;Colombo;1979-01-12;valentina.colombo57@outlook.it;Palestra;Annuale;2027-08-23;2025-07-17;2028-03-18;NO
156;Alice;Gallo;2002-06-19;alice.gallo60@outlook.it;Palestra;Semestrale;2027-10-15;2025-02-27;2027-07-31;NO
157;Alessandro;Gallo;1965-10-30;alessandro.gallo7@gmail.com;Palestra;Mensile;2026-04-12;2025-06-17;2028-09-27;NO
158;Davide;Moretti;1989-10-19;davide.moretti22@outlook.it;Palestra;Trimestrale;2026-06-29;2025-04-02;2028-07-04;NO
159;Chiara;Moretti;1949-02-25;chiara.moretti74@gmail.com;Palestra;Trimestrale;2026-09-09;2025-03-02;2028-02-07;NO
160;Chiara;Colombo;1965-09-07;chiara.colombo58@yahoo.com;Palestra;Annuale;2027-11-30;2025-03-17;2028-06-13;NO
161;Beatrice;Marino;2010-11-16;beatrice.marino13@gmail.com;Palestra;Mensile;2028-04-09;2025-01-23;2028-03-08;NO
162;Elena;Zappa;1975-11-06;elena.zappa55@gmail.com;Palestra;Semestrale;2027-11-30;2025-07-24;2027-10-20;NO
163;Sara;Marino;1986-11-21;sara.marino99@icloud.com;Palestra;Trimestrale;2026-06-11;2025-03-19;2027-10-22;NO
164;Matteo;Gallo;1996-06-25;matteo.gallo98@icloud.com;Palestra;Annuale;2028-07-07;2025-03-27;2027-03-27;NO
165;Alessandro;Ferrari;1976-02-26;alessandro.ferrari2@yahoo.com;Palestra;Trimestrale;2027-12-29;2026-02-07;2025-10-19;NO
166;Davide;Romano;1958-03-29;davide.romano79@gmail.com;Palestra;Semestrale;2026-04-14;2025-12-16;2025-08-26;NO
167;Riccardo;Colombo;1950-10-29;riccardo.colombo65@icloud.com;Palestra;Mensile;2028-11-23;2025-09-02;2026-02-23;NO
168;Giulia;Marino;1987-07-26;giulia.marino97@yahoo.com;Palestra;Annuale;2027-12-22;2025-04-14;2026-05-03;NO
169;Riccardo;Piccoli;1985-08-18;riccardo.piccoli13@icloud.com;Palestra;Semestrale;2028-03-06;2025-10-17;2028-02-23;NO
170;Valentina;Marino;2009-02-10;valentina.marino32@gmail.com;Palestra;Annuale;2028-02-15;2025-10-25;2026-05-01;NO
171;Davide;Conti;2000-07-22;davide.conti85@gmail.com;Palestra;Trimestrale;2027-06-25;2025-08-19;2025-04-25;NO
172;Alice;Ferrari;1947-08-09;alice.ferrari24@gmail.com;Palestra;Trimestrale;2027-09-08;2025-03-17;2025-02-07;NO
173;Valentina;Ricci;1991-06-06;valentina.ricci75@yahoo.com;Palestra;Annuale;2027-12-21;2025-01-20;2026-05-03;NO
174;Marco;Marino;1977-06-09;marco.marino55@icloud.com;Palestra;Semestrale;2028-03-29;2025-10-09;2028-07-14;NO
175;Chiara;Romano;1947-08-16;chiara.romano66@outlook.it;Palestra;Annuale;2026-05-15;2026-01-09;2027-12-01;NO
176;Giulia;Russo;1997-06-04;giulia.russo34@icloud.com;Palestra;Trimestrale;2028-04-19;2025-12-04;2025-03-06;NO
177;Simone;Romano;1974-05-21;simone.romano67@gmail.com;Palestra;Mensile;2026-06-09;2025-06-14;2025-04-07;NO
178;Davide;Conti;1968-08-07;davide.conti97@outlook.it;Palestra;Annuale;2026-05-04;2025-09-23;2025-07-18;NO
179;Elena;Zappa;1990-07-31;elena.zappa44@outlook.it;Palestra;Trimestrale;2028-01-09;2025-09-27;2026-04-04;NO
180;Marco;Colombo;2003-08-12;marco.colombo53@icloud.com;Palestra;Trimestrale;2026-11-15;2025-08-10;2027-05-07;NO
181;Valentina;Romano;1953-07-06;valentina.romano47@gmail.com;Palestra;Semestrale;2027-02-11;2025-09-26;2025-11-05;NO
182;Cristiano;Moretti;1984-07-03;cristiano.moretti24@yahoo.com;Palestra;Mensile;2026-10-01;2025-01-26;2028-06-21;NO
183;Davide;Zappa;1947-02-07;davide.zappa10@icloud.com;Palestra;Semestrale;2027-01-21;2025-03-24;2028-04-29;NO
184;Beatrice;Conti;1952-10-08;beatrice.conti71@outlook.it;Palestra;Trimestrale;2028-02-25;2025-08-06;2027-06-08;NO
185;Sara;Colombo;1987-04-16;sara.colombo85@yahoo.com;Palestra;Trimestrale;2026-02-14;2025-03-31;2027-10-04;NO
186;Elena;Bianchi;2005-12-28;elena.bianchi44@yahoo.com;Palestra;Annuale;2027-12-05;2025-08-25;2025-07-14;NO
187;Marco;Verdi;1953-11-23;marco.verdi63@yahoo.com;Palestra;Trimestrale;2028-12-11;2025-09-02;2027-12-19;NO
188;Davide;Colombo;1999-01-17;davide.colombo15@yahoo.com;Palestra;Semestrale;2027-02-27;2025-07-23;2028-04-07;NO
189;Cristiano;Marino;1968-05-16;cristiano.marino1@gmail.com;Palestra;Semestrale;2027-08-30;2025-05-31;2028-10-03;NO
190;Davide;Piccoli;2002-11-16;davide.piccoli72@outlook.it;Palestra;Trimestrale;2028-09-25;2025-09-10;2025-09-14;NO
191;Davide;Colombo;2011-06-16;davide.colombo71@outlook.it;Palestra;Annuale;2026-11-04;2025-12-29;2027-07-10;NO
192;Marco;Verdi;1974-11-18;marco.verdi30@icloud.com;Palestra;Semestrale;2027-09-02;2025-11-20;2027-10-19;NO
193;Valentina;Colombo;1996-06-08;valentina.colombo36@yahoo.com;Palestra;Annuale;2026-09-09;2025-01-20;2025-09-05;NO
194;Giulia;Ricci;1958-07-06;giulia.ricci8@yahoo.com;Palestra;Trimestrale;2028-04-11;2025-12-14;2028-05-12;NO
195;Alessandro;Zappa;1978-10-09;alessandro.zappa58@outlook.it;Palestra;Semestrale;2028-11-21;2025-08-26;2027-12-21;NO
196;Matteo;Romano;2010-06-22;matteo.romano75@yahoo.com;Palestra;Trimestrale;2028-05-16;2025-07-26;2025-07-23;NO
197;Elena;Rossi;1959-01-14;elena.rossi45@yahoo.com;Palestra;Mensile;2028-01-05;2025-03-24;2027-04-24;NO
198;Marco;Conti;2002-10-02;marco.conti38@icloud.com;Palestra;Mensile;2027-08-31;2025-08-26;2025-04-25;NO
199;Giulia;Rossi;1991-10-04;giulia.rossi73@yahoo.com;Palestra;Semestrale;2027-09-28;2026-01-05;2027-12-10;NO
201;Marco;Zappa;1962-10-27;marco.zappa42@outlook.it;Palestra;Annuale;2027-12-13;2025-09-16;2025-08-11;NO
210;Riccardo;Russo;1957-09-03;riccardo.russo6@icloud.com;Palestra;Trimestrale;2027-08-06;2025-10-12;2027-10-29;NO
211;Beatrice;Colombo;1972-08-27;beatrice.colombo94@yahoo.com;Palestra;Annuale;2026-06-20;2026-01-22;2027-06-23;NO
212;Matteo;Moretti;1989-06-23;matteo.moretti88@yahoo.com;Palestra;Semestrale;2028-06-25;2025-02-12;2026-05-26;NO
213;Marco;Rossi;2013-12-03;marco.rossi46@gmail.com;Palestra;Semestrale;2028-06-18;2025-07-24;2027-10-08;NO
214;Matteo;Colombo;1972-06-22;matteo.colombo88@yahoo.com;Palestra;Annuale;2027-11-09;2026-02-08;2026-07-12;NO
215;Davide;Rossi;1966-06-21;davide.rossi51@outlook.it;Palestra;Annuale;2026-11-07;2025-09-04;2025-03-28;NO
216;Beatrice;Romano;1997-07-23;beatrice.romano77@yahoo.com;Palestra;Trimestrale;2027-12-23;2025-04-26;2028-01-12;NO
217;Sara;Moretti;2007-07-02;sara.moretti71@yahoo.com;Palestra;Annuale;2027-03-19;2025-10-24;2028-04-25;NO
218;Giulia;Verdi;1948-05-05;giulia.verdi63@icloud.com;Palestra;Annuale;2028-10-27;2026-01-27;2026-07-26;NO
219;Cristiano;Conti;1953-05-23;cristiano.conti22@icloud.com;Palestra;Trimestrale;2027-09-04;2025-08-03;2028-08-16;NO
221;Beatrice;Ricci;1954-12-08;beatrice.ricci54@gmail.com;Palestra;Trimestrale;2027-11-23;2025-06-23;2025-08-02;NO
231;Alice;Gallo;2010-02-04;alice.gallo67@gmail.com;Palestra;Trimestrale;2027-02-19;2025-01-20;2026-12-01;NO
241;Valentina;Ricci;2001-05-28;valentina.ricci8@icloud.com;Palestra;Mensile;2027-12-13;2025-01-24;2026-06-25;NO
251;Giulia;Russo;1959-12-17;giulia.russo7@yahoo.com;Palestra;Trimestrale;2028-03-14;2025-08-10;2026-02-13;NO
261;Beatrice;Romano;1976-01-10;beatrice.romano57@gmail.com;Palestra;Trimestrale;2028-12-06;2025-05-05;2027-11-18;NO
271;Chiara;Gallo;1995-12-13;chiara.gallo69@outlook.it;Palestra;Trimestrale;2028-04-28;2025-05-27;2026-05-27;NO
281;Davide;Russo;1988-01-30;davide.russo49@icloud.com;Palestra;Mensile;2028-12-21;2025-10-07;2028-04-28;NO
291;Simone;Verdi;2003-03-28;simone.verdi82@yahoo.com;Palestra;Annuale;2026-05-29;2025-04-10;2026-10-28;NO
301;Sara;Ferrari;1965-04-07;sara.ferrari59@gmail.com;Palestra;Mensile;2027-02-26;2025-06-29;2026-04-08;NO
310;Matteo;Colombo;1946-05-20;matteo.colombo44@icloud.com;Palestra;Semestrale;2028-02-24;2025-10-22;2027-09-05;NO
311;Marco;Ricci;1949-05-21;marco.ricci82@yahoo.com;Palestra;Semestrale;2027-01-10;2025-07-17;2027-08-23;NO
312;Sara;Gallo;1995-10-06;sara.gallo60@gmail.com;Palestra;Mensile;2026-05-06;2025-02-04;2025-12-22;NO
313;Davide;Colombo;1988-12-05;davide.colombo45@gmail.com;Palestra;Mensile;2028-07-15;2025-06-28;2025-06-19;NO
314;Giulia;Ricci;1968-05-16;giulia.ricci68@outlook.it;Palestra;Semestrale;2027-01-11;2025-10-24;2025-07-01;NO
315;Matteo;Romano;1953-02-20;matteo.romano38@icloud.com;Palestra;Semestrale;2026-10-17;2025-05-11;2028-07-29;NO
316;Sara;Russo;2003-02-09;sara.russo77@outlook.it;Palestra;Semestrale;2026-04-21;2025-07-20;2027-03-16;NO
317;Marco;Conti;1976-10-20;marco.conti3@yahoo.com;Palestra;Trimestrale;2026-05-08;2025-04-21;2027-04-09;NO
318;Matteo;Romano;2000-01-14;matteo.romano68@outlook.it;Palestra;Semestrale;2027-12-07;2025-06-15;2027-06-26;NO
319;Davide;Marino;1987-05-04;davide.marino6@yahoo.com;Palestra;Trimestrale;2026-12-16;2025-12-10;2026-05-29;NO
321;Chiara;Rossi;1960-07-07;chiara.rossi64@icloud.com;Palestra;Mensile;2027-12-29;2025-12-31;2025-06-06;NO
331;Alessandro;Moretti;1953-06-15;alessandro.moretti65@outlook.it;Palestra;Mensile;2026-05-27;2025-05-01;2028-07-11;NO
341;Matteo;Conti;2007-08-03;matteo.conti20@icloud.com;Palestra;Semestrale;2026-08-15;2026-02-07;2027-04-25;NO
351;Riccardo;Moretti;1957-06-19;riccardo.moretti78@gmail.com;Palestra;Annuale;2027-04-25;2025-03-28;2027-04-14;NO
361;Simone;Romano;2001-01-15;simone.romano84@yahoo.com;Palestra;Mensile;2028-07-11;2025-07-30;2028-10-02;NO
371;Sara;Colombo;1976-02-26;sara.colombo60@outlook.it;Palestra;Trimestrale;2026-10-25;2025-08-24;2027-09-19;NO
381;Matteo;Gallo;1980-02-04;matteo.gallo15@outlook.it;Palestra;Annuale;2026-06-05;2025-08-06;2027-12-28;NO
391;Simone;Rossi;1979-03-21;simone.rossi40@gmail.com;Palestra;Trimestrale;2028-05-21;2025-02-09;2028-05-05;NO
1;Riccardo;Moretti;1988-09-25;riccardo.moretti93@outlook.it;piscina;Mensile;2028-09-30;2025-10-13;2028-11-03;NO
